Store_ID,Group_ID
315,6cb5939a-82c7-4262-af52-0d3853c3f6f6
320,050f471c-aa45-4165-a58d-dcd4b15693dc
287,434dcf71-fddc-4063-bade-9389a3b710cd
323,cc751b46-4fbf-4a0f-9114-904d21972f2c
310,904a3426-7d02-4e12-a460-5f9c7b0e33f2
224,bcf84a47-0153-4514-aff3-ea5e6f1357e5
257,84dcd65e-8c14-4191-b6f9-d22050240a89
245,bde6559f-29c9-4212-b70e-6a7b05b3d1b4
275,b6bbb703-cb93-478e-961d-b7d8ebd1dd14
311,53735647-eb90-498f-bcf1-436281aa89be
313,192e50b9-dc13-4138-8dee-cec52107f5f0
418,8921fda8-5ff5-40f5-8923-3930ccd22417
247,bd95ee07-4cfd-4e7c-8df6-c838499b89af
261,8bd096ac-b6a7-4b8f-988b-a7e23d4d1efe
211,ec7db40f-cf2e-451e-85aa-c308f441327b
260,ee380c41-1fd0-414f-bf5e-405ca906fb2c
233,5b702497-f2e7-464a-81a3-c065e322b35d
329,69d12c41-5ec5-4e23-8a8c-ea0dd9cd3dba
339,683cfe05-3fe9-464d-b61a-50fa69c5e357
335,0e33c6f4-afff-4d18-adea-4f6c3864fad9
405,57916e1e-0421-496a-abf0-4d5c02e1d300
409,d1b12533-c864-4399-94a5-0db9bd1020ee
318,e10fc85c-f894-49b4-aba1-64a3c5556ef8
338,82a89bda-2ce9-4ea6-92a8-bc08a1ebd84f
243,e58c7790-07cf-4e11-8d90-a24c652acefc
220,3c2593aa-9e0a-44f7-b61e-049ff7dbbbd7
207,02d74617-7135-4e8b-8e64-64d375cbb834
